user_id,age,salary,department,city,gender
U0000,28.0,44617.54,HR,New York,Female
U0001,53.0,98818.01,Marketing,Paris,Male
U0002,40.0,81941.32,Sales,Paris,Female
U0003,27.0,41114.08,HR,London,Female
U0004,41.0,75830.68,HR,Paris,Female
U0005,48.0,95742.81,Marketing,London,Male
U0006,58.0,103897.38,Sales,Paris,Male
U0007,28.0,70282.34,Sales,London,Female
U0008,26.0,34774.62,HR,Tokyo,Female
U0009,32.0,61818.31,Engineering,London,Male
U0010,36.0,84725.41,HR,Tokyo,Male
U0011,24.0,34755.33,HR,London,Female
U0012,26.0,50903.74,HR,New York,Female
U0013,44.0,89328.59,HR,London,Female
U0014,58.0,107932.3,Marketing,Paris,Male
U0015,30.0,59225.17,Sales,Tokyo,Female
U0016,36.0,77614.44,Marketing,Paris,Male
U0017,24.0,43328.59,Marketing,Paris,Female
U0018,50.0,107643.3,Marketing,New York,Male
U0019,27.0,57927.31,HR,London,Female
U0020,38.0,70171.0,Engineering,New York,Male
U0021,47.0,105274.54,Sales,London,Male
U0022,42.0,76590.63,Engineering,Paris,Male
U0023,29.0,66558.93,Marketing,London,Female
U0024,42.0,76769.84,Marketing,New York,Female
U0025,32.0,60839.27,Engineering,Tokyo,Male
U0026,59.0,116373.56,Engineering,New York,Male
U0027,29.0,61385.83,Engineering,New York,Male
U0028,45.0,65865.52,Marketing,New York,Female
U0029,56.0,116580.16,Marketing,Tokyo,Male
U0030,35.0,68975.21,Sales,Paris,Female
U0031,35.0,72857.4,Sales,New York,Female
U0032,31.0,67024.88,Marketing,New York,Female
U0033,33.0,69938.09,Engineering,New York,Male
U0034,59.0,97926.39,Engineering,Tokyo,Male
U0035,55.0,99389.89,Sales,Tokyo,Male
U0036,31.0,65328.16,Marketing,Tokyo,Male
U0037,38.0,77996.96,Sales,Paris,Female
U0038,38.0,68104.46,Sales,London,Female
U0039,24.0,55376.39,HR,Paris,Female
U0040,52.0,101435.75,HR,Paris,Male
U0041,22.0,52857.26,HR,Paris,Female
U0042,33.0,78100.21,Engineering,London,Male
U0043,25.0,52783.02,Marketing,New York,Male
U0044,34.0,73555.52,Marketing,Tokyo,Male
U0045,55.0,103915.4,Marketing,Paris,Male
U0046,42.0,92922.1,Marketing,Tokyo,Male
U0047,43.0,88181.24,HR,Tokyo,Female
U0048,25.0,47052.89,Engineering,Tokyo,Male
U0049,39.0,65811.82,Engineering,New York,Male
U0050,26.0,47145.59,HR,Tokyo,Female
U0051,40.0,68905.24,Engineering,Tokyo,Male
U0052,23.0,53614.9,HR,New York,Female
U0053,33.0,78204.3,Marketing,Tokyo,Female
U0054,38.0,85162.69,HR,London,Female
U0055,31.0,86860.2,Marketing,London,Female
U0056,55.0,105395.93,Marketing,Paris,Male
U0057,27.0,59965.72,Sales,London,Female
U0058,29.0,46186.45,HR,London,Female
U0059,32.0,62027.49,Sales,London,Female
U0060,33.0,51226.51,HR,New York,Female
U0061,30.0,65681.94,HR,London,Female
U0062,23.0,42445.08,Sales,Tokyo,Female
U0063,29.0,37454.18,Sales,Paris,Female
U0064,32.0,57149.82,HR,Tokyo,Female
U0065,57.0,131931.14,Engineering,Tokyo,Male
U0066,31.0,66104.3,Marketing,London,Male
U0067,42.0,91690.93,Sales,Paris,Female
U0068,41.0,83255.45,Marketing,Tokyo,Male
U0069,29.0,56184.41,Engineering,Paris,Male
U0070,57.0,114155.79,Engineering,London,Male
U0071,50.0,102454.33,Engineering,Tokyo,Male
U0072,33.0,55033.48,Sales,New York,Female
U0073,35.0,77630.62,Engineering,Tokyo,Male
U0074,42.0,95218.27,Sales,Tokyo,Female
U0075,43.0,84034.11,Engineering,Paris,Male
U0076,42.0,78769.6,Marketing,Paris,Male
